Titulo|Preço|Link|Kabum
Placa de Vídeo RTX 2060 Ventus GP OC MSI NVIDIA GeForce, 6GB GDDR6, Ray Tracing - GeForce RTX 2060 VENTUS GP OC|1.599|https://www.kabum.com.br/produto/357660/placa-de-video-rtx-2060-ventus-gp-oc-msi-nvidia-geforce-6gb-gddr6-ray-tracing-geforce-rtx-2060-ventus-gp-oc|Kabum
Placa de Vídeo RTX 2060 Zotac Gaming NVIDIA GeForce, 6GB, GDDR6 - ZT-T20600H-10M|1.803|https://www.kabum.com.br/produto/110397/placa-de-video-rtx-2060-zotac-gaming-nvidia-geforce-6gb-gddr6-zt-t20600h-10m|Kabum
Placa de Vídeo RTX 2060 KO Ultra Gaming EVGA NVIDIA GeForce, 6 GB GDDR6 - 06G-P4-2068-KR|1.596|https://www.kabum.com.br/produto/113182/placa-de-video-rtx-2060-ko-ultra-gaming-evga-nvidia-geforce-6-gb-gddr6-06g-p4-2068-kr|Kabum
Placa de Vídeo RTX 2060 Ventus MSI NVIDIA GeForce, 12 GB GDDR6, Ray Tracing - RTX 2060 VENTUS 12G OC|1.799|https://www.kabum.com.br/produto/391124/placa-de-video-rtx-2060-ventus-msi-nvidia-geforce-12-gb-gddr6-ray-tracing-rtx-2060-ventus-12g-oc|Kabum
Placa de Vídeo RTX 2060 Plus 1-Click OC Galax NVIDIA GeForce, 12GB GDDR6, Ray Tracing - 26NRL7HP68NC|2.563|https://www.kabum.com.br/produto/353999/placa-de-video-rtx-2060-plus-1-click-oc-galax-nvidia-geforce-12gb-gddr6-ray-tracing-26nrl7hp68nc|Kabum
Placa de Vídeo RTX 2060 Zotac Gaming NVIDIA GeForce, 6GB GDDR6, Ray Tracing, LED Branco - ZT-T20600R-10M|1.898|https://www.kabum.com.br/produto/273163/placa-de-video-rtx-2060-zotac-gaming-nvidia-geforce-6gb-gddr6-ray-tracing-led-branco-zt-t20600r-10m|Kabum
Placa de Vídeo RTX 2060 Ventus MSI NVIDIA GeForce, 12GB GDDR6, HDR, Ray Tracing - 912-V375-689|1.898|https://www.kabum.com.br/produto/386843/placa-de-video-rtx-2060-ventus-msi-nvidia-geforce-12gb-gddr6-hdr-ray-tracing-912-v375-689|Kabum
Placa de Vídeo RTX 2060 Plus 1-Click OC Galax NVIDIA, 6GB GDDR6, LED, Ray Tracing - 26NRL7HP68CX|1.649|https://www.kabum.com.br/produto/342980/placa-de-video-rtx-2060-plus-1-click-oc-galax-nvidia-6gb-gddr6-led-ray-tracing-26nrl7hp68cx|Kabum
Placa de Vídeo RTX 2060 SC Gaming EVGA NVIDIA GeForce, 6 GB GDDR6 - 06G-P4-2062-KR|1.518|https://www.kabum.com.br/produto/102400/placa-de-video-rtx-2060-sc-gaming-evga-nvidia-geforce-6-gb-gddr6-06g-p4-2062-kr|Kabum
Placa de Vídeo RTX 2060 EVO ASUS NVIDIA Dual GeForce, 6 GB GDDR6, Ray Tracing - 90YV0CH4-M0NA00|2.316|https://www.kabum.com.br/produto/392159/placa-de-video-rtx-2060-evo-asus-nvidia-dual-geforce-6-gb-gddr6-ray-tracing-90yv0ch4-m0na00|Kabum
Placa de Vídeo RTX 2060 Super OC Galax NVIDIA GeForce, 8GB, DDR6 - 26ISL6HP68LD|2.848|https://www.kabum.com.br/produto/115587/placa-de-video-rtx-2060-super-oc-galax-nvidia-geforce-8gb-ddr6-26isl6hp68ld|Kabum
Placa de Vídeo RTX 2060 Gigabyte GeForce, 12GB GDDR6 - N2060D6-12GD|2.278|https://www.kabum.com.br/produto/374625/placa-de-video-rtx-2060-gigabyte-geforce-12gb-gddr6-n2060d6-12gd|Kabum
