Titulo|Preço|Link|Kabum
Rtx 2060s 8gb Super Zotac (jiusho) - Garantia 12x - Brasil|1.499|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 SC Gaming EVGA NVIDIA GeForce, 6 GB GDDR6 - 06G-P4-2062-KR|1.518|https://www.kabum.com.br/produto/102400/placa-de-video-rtx-2060-sc-gaming-evga-nvidia-geforce-6-gb-gddr6-06g-p4-2062-kr|Kabum
Placa De Vídeo Amd Rx 6600m 8gb Gddr6 Melhor Que Rtx2060 + |1.551|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 KO Ultra Gaming EVGA NVIDIA GeForce, 6 GB GDDR6 - 06G-P4-2068-KR|1.596|https://www.kabum.com.br/produto/113182/placa-de-video-rtx-2060-ko-ultra-gaming-evga-nvidia-geforce-6-gb-gddr6-06g-p4-2068-kr|Kabum
Placa de Vídeo RTX 2060 Ventus GP OC MSI NVIDIA GeForce, 6GB GDDR6, Ray Tracing - GeForce RTX 2060 VENTUS GP OC|1.599|https://www.kabum.com.br/produto/357660/placa-de-video-rtx-2060-ventus-gp-oc-msi-nvidia-geforce-6gb-gddr6-ray-tracing-geforce-rtx-2060-ventus-gp-oc|Kabum
Rtx 2060s 8gb Sup. Zotac (jiusho) - Pronta Entrega! Garantia|1.599|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 Plus 1-Click OC Galax NVIDIA, 6GB GDDR6, LED, Ray Tracing - 26NRL7HP68CX|1.649|https://www.kabum.com.br/produto/342980/placa-de-video-rtx-2060-plus-1-click-oc-galax-nvidia-6gb-gddr6-led-ray-tracing-26nrl7hp68cx|Kabum
Placa Video Colorful Geforce Gtx 1660 Super Nb 6gb|1.749|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Msi Ventus Rtx 2060 Super Oc Edition 8gb|1.749|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 Ventus GP OC MSI NVIDIA GeForce, 6GB GDDR6, 3x DisplayPort, HDMI - 912-V375-808|1.779|https://www.kabum.com.br/produto/357647/placa-de-video-rtx-2060-ventus-gp-oc-msi-nvidia-geforce-6gb-gddr6-3x-displayport-hdmi-912-v375-808|Kabum
Placa de Vídeo RTX 2060 Ventus MSI NVIDIA GeForce, 12 GB GDDR6, Ray Tracing - RTX 2060 VENTUS 12G OC|1.799|https://www.kabum.com.br/produto/391124/placa-de-video-rtx-2060-ventus-msi-nvidia-geforce-12-gb-gddr6-ray-tracing-rtx-2060-ventus-12g-oc|Kabum
Placa de Vídeo RTX 2060 Zotac Gaming NVIDIA GeForce, 6GB, GDDR6 - ZT-T20600H-10M|1.803|https://www.kabum.com.br/produto/110397/placa-de-video-rtx-2060-zotac-gaming-nvidia-geforce-6gb-gddr6-zt-t20600h-10m|Kabum
Placa de Vídeo RTX 2060 Msi Geforce, 6GB Ventus Gp Oc Gddr6 - 912-v375-808|1.838|https://www.kabum.com.br/produto/341204/placa-de-video-rtx-2060-msi-geforce-6gb-ventus-gp-oc-gddr6-912-v375-808|Kabum
Placa de Vídeo RTX 2060 Zotac Gaming NVIDIA GeForce, 6GB GDDR6, Ray Tracing, LED Branco - ZT-T20600R-10M|1.898|https://www.kabum.com.br/produto/273163/placa-de-video-rtx-2060-zotac-gaming-nvidia-geforce-6gb-gddr6-ray-tracing-led-branco-zt-t20600r-10m|Kabum
Placa de Vídeo RTX 2060 Ventus MSI NVIDIA GeForce, 12GB GDDR6, HDR, Ray Tracing - 912-V375-689|1.898|https://www.kabum.com.br/produto/386843/placa-de-video-rtx-2060-ventus-msi-nvidia-geforce-12gb-gddr6-hdr-ray-tracing-912-v375-689|Kabum
Placa de vídeo Nvidia Evga  KO Gaming GeForce RTX 20 Series RTX 2060 06G-P4-2068-KR 6GB|1.899|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Nvidia Galax Rtx 2060 Plus 1-click Oc 12gb|1.975|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa Video Geforce Nvidia Rtx 2060, 6gb,windforce Promoçao|1.991|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Video Nvidia Geforce Rtx 2060 Super 8gb Gddr6 Pci-e|1.999|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia Gigabyte  GeForce RTX 20 Series RTX 2060 GV-N2060D6-6GD (rev. 2.0) 6GB|1.999|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Geforce Galax Rtx 2060 Plus 1-click Oc 12gb|2.078|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia Galax  GeForce RTX 20 Series RTX 2060 26NRL7HP68NC 12GB|2.078|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia MSI  Ventus GeForce RTX 20 Series RTX 2060 GEFORCE RTX 2060 VENTUS 6G OC OC Edition 6GB|2.099|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia Galax  GeForce RTX 20 Series RTX 2060 26NRL7HP68CX 6GB|2.176|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Galax Geforce Rtx 2060 26nrl7hp68cx 6gb|2.176|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Video Gf Rtx2060 6gb 194b Ddr6 Ventus G |2.18|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Msi Rtx 2060 Ventus 4gb Gddr6 Gp Edition|2.185|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Galax Geforce Rtx 2060 Geforce Plus 6gb Gddr6|2.198|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Video Gef Rtx 2060 Gddr6 6gb, 192 Dual Fan|2.198|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia MSI  Ventus GeForce RTX 20 Series RTX 2060 GeForce RTX 2060 VENTUS 12G OC 12GB|2.199|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Video Gef Rtx 2060 Gddr6 6GB, 192 Dual Fan-full Size|2.206|https://www.kabum.com.br/produto/332863/placa-de-video-gef-rtx-2060-gddr6-6gb-192-dual-fan-full-size|Kabum
Placa de Vídeo RTX 3060 Ventus 2X MSI NVIDIA GeForce,  12GB GDDR6, DLSS, Ray Tracing|2.214|https://www.kabum.com.br/produto/384627/placa-de-video-rtx-3060-ventus-2x-msi-nvidia-geforce-12gb-gddr6-dlss-ray-tracing|Kabum
Placa de Vídeo RTX 2060 Gigabyte GeForce, 12GB GDDR6 - N2060D6-12GD|2.278|https://www.kabum.com.br/produto/374625/placa-de-video-rtx-2060-gigabyte-geforce-12gb-gddr6-n2060d6-12gd|Kabum
Placa de Vídeo RTX 2060 EVO ASUS NVIDIA Dual GeForce, 6 GB GDDR6, Ray Tracing - 90YV0CH4-M0NA00|2.316|https://www.kabum.com.br/produto/392159/placa-de-video-rtx-2060-evo-asus-nvidia-dual-geforce-6-gb-gddr6-ray-tracing-90yv0ch4-m0na00|Kabum
Rtx 2060 12gb Plus 1click Oc G6 192b 26nrl7hp68nc Galax|2.344|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Nvidia Galax  Geforce Series Rtx 2060 6gb|2.349|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia Galax  GeForce RTX 20 Series RTX 2060 SUPER 26ISL6HP68LD OC Edition 8GB|2.35|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Galax Geforce Rtx 2060 26nrl7hp68nc 12gb|2.39|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia Gigabyte  GeForce RTX 20 Series RTX 2060 GV-N2060D6-12GD 12GB|2.399|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 Super EX Galax Nvidia GeForce, 8GB GDDR6, 256 Bit, 1-Click Oc - 26ISL6HP68LD|2.399|https://www.kabum.com.br/produto/219963/placa-de-video-rtx-2060-super-ex-galax-nvidia-geforce-8gb-gddr6-256-bit-1-click-oc-26isl6hp68ld|Kabum
Placa De Vídeo Galax Nvidia Geforce Rtx2060 Plus 6gb 192 Bit|2.402|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de vídeo Nvidia Zotac  Gaming GeForce RTX 20 Series RTX 2060 ZT-T20600H-10M 6GB|2.414|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Video, Rtx 2060, Ghost Gainward, 12GB|2.439|https://www.kabum.com.br/produto/305762/placa-de-video-rtx-2060-ghost-gainward-12gb|Kabum
Placa de vídeo Nvidia Gainward  Ghost GeForce RTX 20 Series RTX 2060 SUPER NE6206S018P2-1160X 8GB|2.445|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 Plus 1-click Oc Galax, 12GB 192 Bit Gddr6 26NRL7HP68PC|2.457|https://www.kabum.com.br/produto/306143/placa-de-video-rtx-2060-plus-1-click-oc-galax-12gb-192-bit-gddr6-26nrl7hp68pc|Kabum
Placa De Vídeo Pcyes Geforce Rtx 2060 6gb Gddr6 192 Bits|2.462|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Geforce Rtx 2060 6gb 192 Bits Gddr6 Dual Fan Graffiti Series|2.49|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 Plus 1-Click OC Galax NVIDIA GeForce, 12GB GDDR6, Ray Tracing - 26NRL7HP68NC|2.563|https://www.kabum.com.br/produto/353999/placa-de-video-rtx-2060-plus-1-click-oc-galax-nvidia-geforce-12gb-gddr6-ray-tracing-26nrl7hp68nc|Kabum
Placa De Video Gigabyte Geforce Rtx2060 12gb Ddr6 Hdmi/dp|2.599|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Video Gigabyte Geforce Rtx2060 12gb Ddr6 Hdmi/dp|2.599|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa Vídeo Gainward Rtx 2060 Super Ghost 8gb 256bits Gddr6|2.699|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa De Vídeo Msi Geforce Rtx 2060 6gb Ddr6 192 Bits|2.767|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
Placa de Vídeo RTX 2060 Super OC Galax NVIDIA GeForce, 8GB, DDR6 - 26ISL6HP68LD|2.848|https://www.kabum.com.br/produto/115587/placa-de-video-rtx-2060-super-oc-galax-nvidia-geforce-8gb-ddr6-26isl6hp68ld|Kabum
Rtx 2060 12gb Gddr6|2.98|https://produto.mercadolivre.com.br/MLB-2221504698-placa-de-video-galax-rtx-2060-12gb-gddr6-192-bit-_JM#position=48&search_layout=grid&type=item&tracking_id=0d42dbf2-97c7-4e79-824d-c06ca1dd3c6f|MercadoLivre
